Segmentation,LeftSpeed,RightSpeed,HeadSpeed,LeftAccel,RightAccel,HeadAccel,RightLeftDist,LeftHeadDist,RightHeadDist
1,0.059,0.004,0.022,0.076,0.007,0.026,9.07,18.243,15.517
2,0.062,0.005,0.031,0.074,0.007,0.04,8.973,18.374,15.573
0,0.032,0.004,0.011,0.037,0.006,0.012,8.892,18.38,15.559
1,0.069,0.005,0.048,0.055,0.007,0.03,8.822,18.87,16.041
2,0.034,0.006,0.051,0.037,0.008,0.04,8.768,18.886,16.082
0,0.035,0.005,0.024,0.048,0.008,0.021,8.834,18.949,16.034
0,0.078,0.005,0.039,0.06,0.006,0.029,8.844,18.778,15.92
5,0.328,0.048,0.166,0.289,0.041,0.139,11.167,20.755,17.245
0,0.129,0.124,0.153,0.119,0.087,0.138,10.55,21.262,17.515
5,0.057,0.008,0.119,0.082,0.012,0.121,9.964,18.067,15.2
2,0.056,0.004,0.016,0.06,0.008,0.017,9.962,17.44,14.525
2,0.038,0.003,0.01,0.047,0.006,0.011,9.789,17.484,14.589
0,0.017,0.004,0.01,0.023,0.007,0.011,9.805,17.474,14.482
0,0.047,0.003,0.015,0.033,0.005,0.015,9.887,17.491,14.398
4,0.061,0.003,0.029,0.051,0.005,0.026,9.768,17.323,14.401
0,0.04,0.005,0.015,0.053,0.008,0.016,9.615,17.027,14.229
1,0.031,0.004,0.014,0.037,0.006,0.018,9.592,16.859,14.034
0,0.021,0.003,0.01,0.029,0.005,0.012,9.583,16.799,13.938
1,0.049,0.003,0.036,0.046,0.006,0.023,9.434,16.999,14.003
4,0.121,0.006,0.026,0.118,0.008,0.023,9.614,17.38,14.084
1,0.057,0.005,0.017,0.058,0.008,0.014,9.567,16.969,13.863
1,0.054,0.007,0.019,0.067,0.011,0.019,9.348,16.782,13.846
1,0.055,0.005,0.032,0.052,0.01,0.028,9.225,16.993,14
0,0.115,0.005,0.051,0.153,0.008,0.05,9.094,17.317,14.262
1,0.038,0.003,0.016,0.046,0.005,0.02,9.006,17.196,14.158
2,0.206,0.02,0.127,0.138,0.019,0.07,9.939,18.453,14.911
8,0.403,0.365,0.186,0.338,0.323,0.146,12.83,23.685,18.583
2,0.221,0.285,0.044,0.17,0.3,0.05,13.549,25.087,23.22
0,0.148,0.197,0.102,0.096,0.167,0.12,11.55,22.954,22.826
1,0.071,0.044,0.025,0.055,0.037,0.027,9.986,22.582,21.721
1,0.195,0.198,0.037,0.218,0.228,0.041,13.317,22.38,21.539
3,0.101,0.174,0.112,0.092,0.157,0.08,11.784,21.756,20.895
5,0.189,0.204,0.156,0.194,0.205,0.122,11.823,20.745,19.149
4,0.109,0.025,0.075,0.072,0.023,0.039,12.729,20.086,18.254
2,0.244,0.006,0.032,0.13,0.009,0.02,10.091,19.857,17.811
1,0.061,0.008,0.023,0.053,0.009,0.023,9.072,19.72,17.467
1,0.026,0.002,0.014,0.032,0.004,0.016,9.031,19.66,17.203
0,0.098,0.004,0.03,0.092,0.007,0.028,9.186,19.639,17.211
6,0.232,0.076,0.104,0.14,0.048,0.059,11.961,19.984,18.635
4,0.128,0.264,0.052,0.118,0.229,0.04,14.755,20.198,20.38
2,0.111,0.157,0.094,0.111,0.148,0.079,17.242,21.325,21.925
2,0.565,0.66,0.428,0.499,0.516,0.278,14.019,21.688,21.535
2,0.277,0.383,0.073,0.213,0.351,0.072,15.024,23.108,21.751
4,0.376,0.196,0.062,0.368,0.231,0.057,9.265,21.971,21.532
0,0.197,0.111,0.025,0.22,0.119,0.03,8.33,22.531,20.821
1,0.125,0.05,0.017,0.092,0.038,0.021,7.377,21.564,20.194
4,0.125,0.037,0.024,0.128,0.041,0.033,9.186,22.787,20.558
2,0.178,0.151,0.035,0.145,0.147,0.039,10.338,22.953,21.009
2,0.121,0.057,0.028,0.087,0.055,0.03,9.094,21.991,21.311
5,0.275,0.039,0.045,0.166,0.04,0.047,9.675,22.743,21.425
5,0.236,0.082,0.047,0.129,0.061,0.045,10.593,21.744,21.869
5,0.258,0.287,0.046,0.178,0.218,0.047,12.04,21.592,21.771
3,0.207,0.328,0.035,0.227,0.371,0.047,11.335,21.469,19.889
3,0.33,0.448,0.062,0.303,0.354,0.063,12.491,20.286,19.281
4,0.253,0.184,0.062,0.186,0.178,0.052,15.32,14.517,17.217
2,0.8,0.977,0.129,0.805,0.95,0.129,15.014,18.163,17.239
6,0.443,0.204,0.054,0.274,0.224,0.049,8.573,20.914,21.388
2,0.344,0.145,0.068,0.256,0.14,0.059,10.184,20.877,20.46
9,0.417,0.239,0.06,0.254,0.165,0.044,19.64,26.931,20.628
5,0.544,0.225,0.046,0.483,0.221,0.054,13.57,23.302,18.769
2,0.067,0.06,0.024,0.062,0.073,0.029,9.321,19.781,17.811
1,0.088,0.081,0.027,0.069,0.086,0.03,9.521,19.054,17.151
3,0.754,0.206,0.08,0.701,0.168,0.072,12.702,20.266,17.837
3,0.284,0.099,0.094,0.217,0.084,0.053,10.645,22.008,19.492
3,0.154,0.026,0.104,0.133,0.026,0.08,10.81,23.909,20.276
